"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FR"|"Volts"|0.0|5.0|50,"brakerear"|"Volts"|0.0|5.0|50,"Analog3"|""|0.0|5.0|10,"Analog4"|""|0.0|5.0|10,"Analog5"|"Volts"|0.0|5.0|10,"brakepress"|"Volts"|0.0|5.0|50,"STR"|"Volts"|0.0|5.0|50,"Battery"|"Volts"|0.0|20.0|50,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|25,"tiretemp"|"celsius"|-1000|1000|10,"tiretemp1"|""|-1000|1000|10,"tiretemp2"|""|-1000|1000|10,"tiretemp3"|""|-1000|1000|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10
2883,0,1.24,0.48,,,,0.58,2.79,3.51,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2903,0,1.23,0.48,,,,0.58,2.79,3.51,,,,,,,,,,,,,,,,,
2923,0,1.23,0.48,,,,0.58,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2943,0,1.23,0.49,0.0,0.28,0.53,0.59,2.78,3.51,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2963,0,1.24,0.49,,,,0.59,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2983,0,1.24,0.49,,,,0.59,2.78,3.52,,,,,,,,,,,,,,,,,
3003,0,1.23,0.48,,,,0.59,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
3023,0,1.23,0.49,,,,0.6,2.79,3.51,,,,,,,,,,,,,,,,,
3043,0,1.24,0.49,0.0,0.28,0.54,0.6,2.79,3.47,-0.02,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
3063,0,1.24,0.49,,,,0.6,2.78,3.5,,,,,,,,,,,,,,,,,
3083,0,1.23,0.49,,,,0.6,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
3103,0,1.23,0.49,,,,0.6,2.78,3.51,,,,,,,,,,,,,,,,,
3123,0,1.23,0.49,,,,0.6,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
3143,0,1.24,0.49,0.01,0.28,0.55,0.6,2.79,3.51,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
3163,0,1.23,0.49,,,,0.61,2.78,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
